날짜,종목명,티커,기준모델,AI예측,확신도,핫키워드,뉴스판정,뉴스요약,뉴스출처,패턴판정,차트판정,핵심사유,뉴스수집성공,뉴스수집오류,비교모델,비교AI예측,비교확신도,비교핫키워드,비교뉴스판정,비교뉴스요약,비교뉴스출처,비교패턴판정,비교차트판정,비교핵심사유,비교뉴스수집성공,비교뉴스수집오류,종합예측,종합점수,대표뉴스키워드,대표뉴스요약,대표뉴스판정,대표뉴스모델,대표뉴스점수,모델일치도,뉴스중요도,종합사유
2026-04-16,삼성전자,005930,,▲ 상승,90,반도체,실질 호재,"삼성전자는 2026년 1분기 잠정 영업이익 57.2조원을 기록하며 어닝 서프라이즈를 달성했고, AI 서버 수요 증가와 메모리 가격 상승으로 2분기 및 연간 실적 전망이 매우 긍정적이다. 또한, 2026년 출시 TV의 99%에 AI 기능을 탑재하며 'AI TV 대중화 시대'를 선언했다.","samsung.com, businesspost.co.kr, edaily.co.kr",유사패턴 혼조,강세,"어닝 서프라이즈와 긍정적인 실적 전망, AI 기술 리더십 강화가 정배열 차트 흐름과 결합되어 단기 상승 추세를 강하게 지지한다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,NVDA,NVDA,,▲ 상승,80,양자 AI 모델,실질 호재,엔비디아가 양자 컴퓨팅 가속화를 위한 세계 최초의 오픈소스 AI 모델인 '아이징(Ising)'을 출시하며 새로운 기술 분야로의 확장과 선도적 입지를 강화하고 있다.,"gurufocus.com, stocktitan.net, nvidia.com",유사패턴 혼조,강세,"엔비디아의 새로운 양자 AI 모델 출시는 강력한 실질 호재이며, 현재 주가가 20일선과 60일선을 모두 상회하며 단기 상승 모멘텀을 형성하고 있다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,TSLA,TSLA,,▲ 상승,88,자율주행 칩,실질 호재,"테슬라가 자율주행 AI5 칩 설계를 완료하고 로보택시인 사이버캡의 양산을 시작하며, AI 및 로봇 분야의 핵심 전략에 진전을 보였다.","gurufocus.com, choicestock.co.kr, moneymorning.com",유사패턴 혼조,강세,테슬라의 자율주행 칩 개발 완료 및 로보택시 양산 개시라는 실질 호재가 높은 거래량과 함께 7% 이상 주가 상승을 이끌며 단기 상승 모멘텀을 형성했다.,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,AAPL,AAPL,,▲ 상승,78,신제품 라인업 및 AI 전략,단순 기대감,"애플은 2026년 폴더블 아이폰 및 새로운 Mac, iPad 모델을 포함한 광범위한 신제품 출시와 'Apple Intelligence'를 통한 AI 전략 강화를 예고하며 시장의 기대감을 높이고 있으며, 이에 따라 일부 애널리스트들은 목표 주가를 상향 조정했다.","9to5mac.com, macworld.com, gurufocus.com",유사패턴 혼조,강세,"현재가가 20일선과 60일선을 상회하며 강한 상승 모멘텀을 보이고 있으며, 신제품 및 AI 전략에 대한 긍정적인 기대감 뉴스가 단기 상승 압력을 지지한다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,GOOGL,GOOGL,,▲ 상승,88,AI 혁신 및 투자 수익,실질 호재,"알파벳의 스페이스X 투자가 약 1000억 달러 가치로 급증하여 막대한 수익을 기대하며, Gemini 3 출시 및 AI Max 상용화 등 AI 혁신이 클라우드 및 검색 부문의 성장을 가속화하고 있다.","gurufocus.com, youtube.com, digiday.com",유사패턴 혼조,강세,"알파벳의 AI 혁신과 투자 수익에 대한 실질 호재가 단기적인 주가 상승 모멘텀을 강화하며, 현재가가 20일선과 60일선을 상회하는 강력한 흐름을 보이고 있다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,삼진제약,000520,,▲ 상승,78,신약 개발,실질 호재,"삼진제약은 산업통상자원부의 '월드클래스 플러스 프로젝트'에 선정되어 혁신 신약 및 ADC 플랫폼 기술 개발에 대한 R&D 지원을 받게 되었으며, 이대서울병원과 중추신경계(CNS) 질환 신약 개발을 위한 전략적 MOU를 체결하며 신약 파이프라인 확장을 가속화하고 있다.","dailypharm.com, chosun.com, yakup.com",유사패턴 혼조,혼조,신약 개발 R&D 지원 및 파이프라인 확장이라는 실질적인 호재가 주가에 긍정적으로 작용하며 단기 상승을 이끌 것으로 예상됩니다.,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,케이뱅크,272210,,━ 관망,60,오버행,실질 악재,"케이뱅크는 코스피 상장 한 달 만에 공모가 대비 26% 하락했으며, 기관 의무보유확약(락업) 해제에 따른 오버행 우려와 실적 불확실성이 주가 반등을 제한하고 있다. 2025년 당기순이익은 1126억원으로 전년 대비 12.1% 감소하며 실적 우려를 더했다.","dealsite.co.kr, edaily.co.kr, dealsitetv.com",유사패턴 혼조,강세,"현재 차트가 정배열 상태로 긍정적인 추세를 보이나, 기관 락업 해제에 따른 오버행 우려와 실적 부진이라는 강력한 악재가 상충하여 단기 방향성을 예측하기 어렵다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,리얼티인컴,O,,▲ 상승,88,배당 및 성장,실질 호재,"리얼티인컴은 최근 670번째 연속 월별 배당금 선언 및 배당금 인상을 발표했으며, 2026년에는 사상 최대 규모인 80억 달러의 자산 인수를 목표로 하는 등 견고한 성장 계획을 제시했습니다.","realtyincome.com, tipranks.com, prnewswire.com",유사패턴 혼조,강세,"현재가가 단기 및 중기 이동평균선을 모두 상회하며 단기 상승 모멘텀을 형성하고 있으며, 실질적인 배당 인상 및 공격적인 자산 인수 목표 발표는 강력한 실적 호재로 작용하여 주가 상승을 견인할 것으로 예상됩니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,포스코DX,022100,,▲ 상승,75,AI,실질 호재,"포스코DX는 국내 NPU 개발사에 투자하여 제조 AI 혁신을 가속화하고 있으며, AI 에이전트 개발 및 로봇 기반 피지컬 AI 확산을 통해 'AI Native Company'로의 전환을 적극 추진하고 있습니다.","posco.com, poscodx.com, alphasquare.co.kr",유사패턴 혼조,혼조,"현재가는 20일선을 상회하며 단기 긍정적 신호를 보이지만 역배열과 60일선 하회는 중기 하락 추세를 나타내어 기술적 관점에서는 혼조세이나, AI 관련 '실질 호재' 뉴스가 강력한 상승 촉매로 작용할 가능성이 높습니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,카카오,035720,,▲ 상승,78,1분기 실적 개선,실질 호재,"카카오는 톡비즈 광고 매출 증가와 플랫폼 부문 성장에 힘입어 2026년 1분기 영업이익이 전년 대비 약 75% 증가할 것으로 전망되며, 이는 내실 경영의 성과로 평가된다.","einfomax.co.kr, alphabiz.co.kr, daum.net",유사패턴 혼조,혼조,실질적인 1분기 실적 개선 호재가 현재 역배열 차트 흐름에도 불구하고 단기적인 상승 모멘텀을 제공할 것으로 예상된다.,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,삼성전자,005930,,▲ 상승,90,실적 개선,실질 호재,"삼성전자는 2026년 1분기 잠정 실적 발표를 통해 매출 133조원, 영업이익 57.2조원으로 시장 기대치를 크게 웃돌며 견조한 실적을 달성했으며, 이는 AI발 반도체 슈퍼사이클과 HBM 및 2나노 파운드리 경쟁력 강화가 주효했다.","daum.net, chosun.com, samsung.com",유사패턴 강세,강세,"삼성전자의 견조한 1분기 실적 발표는 강력한 실질 호재이며, 현재 주가는 정배열 상태에서 20일선과 60일선을 모두 상회하며 거래량 또한 동반된 강세 흐름을 보이고 있어 단기 상승 가능성이 높습니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,NVDA,NVDA,,▲ 상승,90,AI 기술 리더십,실질 호재,"엔비디아는 세계 최초의 오픈소스 양자 AI 모델 'Ising'을 출시하며 AI 및 양자 컴퓨팅 분야의 기술 리더십을 강화했으며, 애널리스트들은 AI 칩 수요 증가와 신규 플랫폼의 잠재적 매출을 기반으로 긍정적인 전망을 유지하고 있다.","nvidia.com, investing.com, tipranks.com",유사패턴 강세,강세,"엔비디아의 양자 AI 모델 출시는 실질 호재로 작용하며, 이동평균선을 상회하는 주가 흐름과 과거 유사 패턴의 상승 예측 성향이 단기 상승을 지지한다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,TSLA,TSLA,,▼ 하락,78,판매 부진,실질 악재,"테슬라는 2026년 1분기 차량 인도량이 시장 예상치를 하회했으며, 사이버트럭은 소비자 수요 부진으로 스페이스X 등 머스크 소유 기업들의 대량 구매에 의존하고 있어 판매에 대한 우려가 커지고 있다.","247wallst.com, gurufocus.com, yna.co.kr",유사패턴 강세,약세,판매 부진이라는 실질 악재 뉴스가 이평선 역배열 등 약세 차트 신호와 일치하여 단기 하락 압력이 우세하다.,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,AAPL,AAPL,,▲ 상승,90,목표주가 상향 및 실적 기대,실질 호재,"Bank of America는 아이폰 및 서비스 부문 성장에 힘입어 Apple의 목표주가를 상향 조정했으며, 다가오는 실적 발표에서 시장 예상치를 뛰어넘는 결과와 1,000억 달러 규모의 자사주 매입 및 배당금 인상이 기대된다.","thestreet.com, marketbeat.com, aastocks.com",유사패턴 강세,강세,"뱅크 오브 아메리카의 목표주가 상향 및 강력한 실적 기대 뉴스는 실질적인 호재로 작용하며, 과거 유사 패턴이 상승을 예측한 점과 현재가가 20일선 및 60일선 위에 위치하여 단기적인 상승 모멘텀을 형성하고 있기에 긍정적인 단기 방향성이 예상된다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,GOOGL,GOOGL,,▲ 상승,88,AI 성장 및 국방부 협력,실질 호재,"Alphabet은 Gemini AI 모델의 국방부 기밀 적용 가능성에 대해 논의 중이며, 이는 정부 AI 시장에서 중요한 진전이자 강력한 AI 성장 동력을 나타냅니다.","tradingview.com, gurufocus.com",유사패턴 강세,강세,"실질적인 AI 국방부 협력 호재와 과거 상승 패턴, 그리고 현재가가 주요 이동평균선을 상회하는 강한 차트 흐름이 단기 상승 가능성을 높입니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,삼진제약,000520,,▲ 상승,80,신약 개발 가속화,실질 호재,"삼진제약은 '월드클래스 플러스 프로젝트'에 선정되어 신약 파이프라인(SJN314, ADC 플랫폼 등)의 글로벌 상업화를 위한 정부 지원을 받게 되었으며, 이대서울병원과 중추신경계 질환 신약 개발 협약을 맺으며 연구개발을 강화하고 있다.","news1.kr, sedaily.com, koreabiomed.com",유사패턴 강세,혼조,"정부 지원 신약 개발 가속화 및 연구 협력 소식은 실질적인 호재로 작용하여, 비록 역배열 상태이나 20일선 상회 등 단기 상승 모멘텀을 형성할 것으로 판단된다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,케이뱅크,272210,,━ 관망,65,수익성 둔화,실질 악재,"케이뱅크는 지난 3월 성공적으로 상장했으나, 2025년 당기순이익이 가상자산 예치금 이자 비용 증가 등으로 전년 대비 12.1% 감소하여 수익성 둔화가 나타났으며, 상장 후 주가도 공모가를 하회하고 있다.","hankyung.com, sentv.co.kr, heraldk.com",유사패턴 혼조,강세,"현재가는 이동평균선을 상회하고 정배열을 형성하며 기술적으로는 긍정적이나, 최근 발표된 수익성 둔화와 공모가 하회 소식이라는 실질 악재가 단기 상승 동력을 제한하여 관망이 필요합니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,리얼티인컴,O,,▲ 상승,90,배당 성장 및 글로벌 확장,실질 호재,"리얼티인컴은 2025년 견조한 운영 실적을 기록하며 월 배당금 인상 기록을 이어갔다. 2026년 80억 달러 투자 목표 및 GIC, 아폴로와의 전략적 파트너십을 통해 글로벌 확장을 가속화하며 지속적인 성장을 기대한다.","hinews.co.kr, prnewswire.com, seekingalpha.com",유사패턴 강세,강세,"현재가가 20일선과 60일선을 모두 상회하며 단기 상승 모멘텀이 강하고, 배당 성장과 글로벌 확장에 대한 실질적 호재 뉴스, 그리고 과거 유사 패턴의 상승 예측 성향이 일치하여 단기 상승 가능성이 높습니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,포스코DX,022100,,▲ 상승,82,AI,실질 호재,"포스코DX는 2026년 3월 '스마트공장·자동화산업전'에서 AI 및 로봇 기반의 '피지컬 AI'와 'AI 워크포스'를 공개하며 'AI 네이티브 기업'으로의 전환을 가속화하고 있으며, 국산 NPU 개발사에 투자하며 제조 AI 혁신을 추진하고 있다.","chosun.com, newstomato.com, edaily.co.kr",유사패턴 강세,혼조,"포스코DX는 실질적인 AI 및 로봇 기반 기술 혁신 뉴스로 강한 상승 모멘텀을 확보했으며, 단기 이평선을 상회하며 과거 AI 관련 패턴이 강세였다는 점이 긍정적인 단기 방향성을 시사한다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,카카오,035720,,▼ 하락,75,AI 수익화 지연,실질 악재,증권사들은 카카오톡 기반 AI 서비스의 수익화 시점이 예상보다 지연될 것으로 전망하며 카카오의 목표주가를 하향 조정하고 있어 투자 심리에 부정적인 영향을 미치고 있다.,"chosun.com, daum.net, youtube.com",유사패턴 강세,혼조,AI 수익화 지연 및 목표주가 하향 조정이라는 실질 악재가 단기적 차트 강세 신호에도 불구하고 투자 심리를 위축시키며 하방 압력이 우세할 것으로 예측된다.,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,삼성전자,005930,,▲ 상승,90,1분기 잠정실적,실질 호재,"삼성전자는 2026년 1분기 매출 133조원, 영업이익 57.2조원의 견조한 잠정 실적을 발표하며, 전년 동기 대비 매출과 영업이익이 크게 증가했다. 이는 반도체 업황 개선과 인공지능(AI) 수요 확대에 따른 슈퍼사이클 진입 기대감에 힘입은 것으로 풀이된다.","samsung.com, chosun.com, naver.com",유사패턴 강세,강세,"삼성전자의 견조한 1분기 잠정실적 발표가 실질 호재로 작용하는 가운데, 현재 주가는 정배열 상태로 이동평균선을 상회하고 있으며, 과거 유사 패턴 또한 강한 상승 예측을 보였으므로 단기적인 주가 상승이 예상된다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,NVDA,NVDA,,▲ 상승,90,AI,실질 호재,"엔비디아는 양자 컴퓨팅 가속화를 위한 오픈 AI 모델 'Ising'을 출시하며 AI 리더십을 확장했으며, 데이터센터 AI 칩 수요에 힘입어 2026년 4분기 사상 최대 매출을 기록했다. 이러한 성과에도 불구하고, AI 경쟁 심화와 대중국 수출 규제는 잠재적인 도전 과제로 남아있다.","nvidia.com, zacks.com, financialcontent.com",유사패턴 강세,강세,"엔비디아는 실질적인 AI 기술 리더십 확장과 사상 최대 매출을 기록하며 강한 펀더멘탈을 보여주고 있으며, 차트 또한 단기적인 강한 상승 모멘텀을 나타내어 상방 가능성이 높다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,TSLA,TSLA,,▲ 상승,88,AI 및 로봇택시,실질 호재,테슬라는 최근 로봇택시 서비스를 댈러스와 휴스턴으로 확장하고 AI5 칩 개발 이정표를 발표하며 AI 및 자율주행 기술 분야에서 상당한 진전을 이루었다. 이러한 기술 발전은 1분기 차량 인도량 부진에도 불구하고 주가 상승을 견인했다.,"247wallst.com, tradingview.com, teslarati.com",유사패턴 강세,강세,로봇택시 서비스 확장 및 AI 칩 개발이라는 실질적 호재가 높은 거래량과 함께 20일선 및 60일선을 상회하는 강력한 단기 상승 모멘텀을 형성하고 있다.,,,,,,,,,,,,,,,,,,,,,,,,
